単語,元単語,問題ID,読み方,別解,別表記,意味,追記,レベル,画像,切り抜き画像,Tags
簎,魚扠,Lv05_0963,やす,ひし・ぎょさ,魚扠・扠・魚刺・魚叉・魚杈・杈・矠,先が分かれた金属の尖った部品を先に付け、水中の魚介を刺して捕えるのに用いる漁具。,,05,"<img src=""Lv05_0963.png"">","<img src=""Lv05_0963_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
魚刺,魚扠,Lv05_0963,やす,ひし・ぎょさ,魚扠・扠・簎・魚叉・魚杈・杈・矠,先が分かれた金属の尖った部品を先に付け、水中の魚介を刺して捕えるのに用いる漁具。,,05,"<img src=""Lv05_0963.png"">","<img src=""Lv05_0963_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
魚叉,魚扠,Lv05_0963,やす,ひし・ぎょさ,魚扠・扠・簎・魚刺・魚杈・杈・矠,先が分かれた金属の尖った部品を先に付け、水中の魚介を刺して捕えるのに用いる漁具。,,05,"<img src=""Lv05_0963.png"">","<img src=""Lv05_0963_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
魚杈,魚扠,Lv05_0963,やす,ひし・ぎょさ,魚扠・扠・簎・魚刺・魚叉・杈・矠,先が分かれた金属の尖った部品を先に付け、水中の魚介を刺して捕えるのに用いる漁具。,,05,"<img src=""Lv05_0963.png"">","<img src=""Lv05_0963_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
杈,魚扠,Lv05_0963,やす,ひし・ぎょさ,魚扠・扠・簎・魚刺・魚叉・魚杈・矠,先が分かれた金属の尖った部品を先に付け、水中の魚介を刺して捕えるのに用いる漁具。,,05,"<img src=""Lv05_0963.png"">","<img src=""Lv05_0963_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
矠,魚扠,Lv05_0963,やす,ひし・ぎょさ,魚扠・扠・簎・魚刺・魚叉・魚杈・杈,先が分かれた金属の尖った部品を先に付け、水中の魚介を刺して捕えるのに用いる漁具。,,05,"<img src=""Lv05_0963.png"">","<img src=""Lv05_0963_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
信夫捩摺り,,Lv05_0964,しのぶもじずりり,,忍捩摺り,シノブの茎や葉の色素を布にすりつけて表したねじれたような模様。,,05,"<img src=""Lv05_0964.png"">","<img src=""Lv05_0964_cropped.png"">",漢字でGO!-05
忍捩摺り,信夫捩摺り,Lv05_0964,しのぶもじずりり,,信夫捩摺り,シノブの茎や葉の色素を布にすりつけて表したねじれたような模様。,,05,"<img src=""Lv05_0964.png"">","<img src=""Lv05_0964_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
目庇,,Lv05_0965,まびさし,,眉庇・目廂・眉廂,兜のひたいのひさし。また、学生帽、鳥打帽などのひさし。,眉廂は「まゆびさし」とも読む。,05,"<img src=""Lv05_0965.png"">","<img src=""Lv05_0965_cropped.png"">",漢字でGO!-05
眉庇,目庇,Lv05_0965,まびさし,,目庇・目廂・眉廂,兜のひたいのひさし。また、学生帽、鳥打帽などのひさし。,眉廂は「まゆびさし」とも読む。,05,"<img src=""Lv05_0965.png"">","<img src=""Lv05_0965_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
目廂,目庇,Lv05_0965,まびさし,,目庇・眉庇・眉廂,兜のひたいのひさし。また、学生帽、鳥打帽などのひさし。,眉廂は「まゆびさし」とも読む。,05,"<img src=""Lv05_0965.png"">","<img src=""Lv05_0965_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
眉廂,目庇,Lv05_0965,まびさし,,目庇・眉庇・目廂,兜のひたいのひさし。また、学生帽、鳥打帽などのひさし。,眉廂は「まゆびさし」とも読む。,05,"<img src=""Lv05_0965.png"">","<img src=""Lv05_0965_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
檠,,Lv05_0966,ともしびたて,,㯳・灯立て,灯火をたてるための台。,,05,"<img src=""Lv05_0966.png"">","<img src=""Lv05_0966_cropped.png"">",漢字でGO!-05
㯳,檠,Lv05_0966,ともしびたて,,檠・灯立て,灯火をたてるための台。,,05,"<img src=""Lv05_0966.png"">","<img src=""Lv05_0966_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
灯立て,檠,Lv05_0966,ともしびたて,,檠・㯳,灯火をたてるための台。,,05,"<img src=""Lv05_0966.png"">","<img src=""Lv05_0966_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
櫺子窓,,Lv05_0967,れんじまど,れにじまど,連子窓・櫺窓・欞窓,一定の間隔で配置された格子を取り付けた窓。,,05,"<img src=""Lv05_0967.png"">","<img src=""Lv05_0967_cropped.png"">",漢字でGO!-05
連子窓,櫺子窓,Lv05_0967,れんじまど,れにじまど,櫺子窓・櫺窓・欞窓,一定の間隔で配置された格子を取り付けた窓。,,05,"<img src=""Lv05_0967.png"">","<img src=""Lv05_0967_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
櫺窓,櫺子窓,Lv05_0967,れんじまど,れにじまど,櫺子窓・連子窓・欞窓,一定の間隔で配置された格子を取り付けた窓。,,05,"<img src=""Lv05_0967.png"">","<img src=""Lv05_0967_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
欞窓,櫺子窓,Lv05_0967,れんじまど,れにじまど,櫺子窓・連子窓・櫺窓,一定の間隔で配置された格子を取り付けた窓。,,05,"<img src=""Lv05_0967.png"">","<img src=""Lv05_0967_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
殃い,,Lv05_0968,わざわい,,災い・禍い・厄い・孼い・夭い・害い・旤い・灾い・烖い・眚い・祅い・菑い・叐󠄃い,災厄。天罰。神のとがめ。,,05,"<img src=""Lv05_0968.png"">","<img src=""Lv05_0968_cropped.png"">",漢字でGO!-05
災い,殃い,Lv05_0968,わざわい,,殃い・禍い・厄い・孼い・夭い・害い・旤い・灾い・烖い・眚い・祅い・菑い・叐󠄃い,災厄。天罰。神のとがめ。,,05,"<img src=""Lv05_0968.png"">","<img src=""Lv05_0968_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
禍い,殃い,Lv05_0968,わざわい,,殃い・災い・厄い・孼い・夭い・害い・旤い・灾い・烖い・眚い・祅い・菑い・叐󠄃い,災厄。天罰。神のとがめ。,,05,"<img src=""Lv05_0968.png"">","<img src=""Lv05_0968_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
厄い,殃い,Lv05_0968,わざわい,,殃い・災い・禍い・孼い・夭い・害い・旤い・灾い・烖い・眚い・祅い・菑い・叐󠄃い,災厄。天罰。神のとがめ。,,05,"<img src=""Lv05_0968.png"">","<img src=""Lv05_0968_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
孼い,殃い,Lv05_0968,わざわい,,殃い・災い・禍い・厄い・夭い・害い・旤い・灾い・烖い・眚い・祅い・菑い・叐󠄃い,災厄。天罰。神のとがめ。,,05,"<img src=""Lv05_0968.png"">","<img src=""Lv05_0968_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
夭い,殃い,Lv05_0968,わざわい,,殃い・災い・禍い・厄い・孼い・害い・旤い・灾い・烖い・眚い・祅い・菑い・叐󠄃い,災厄。天罰。神のとがめ。,,05,"<img src=""Lv05_0968.png"">","<img src=""Lv05_0968_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
害い,殃い,Lv05_0968,わざわい,,殃い・災い・禍い・厄い・孼い・夭い・旤い・灾い・烖い・眚い・祅い・菑い・叐󠄃い,災厄。天罰。神のとがめ。,,05,"<img src=""Lv05_0968.png"">","<img src=""Lv05_0968_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
旤い,殃い,Lv05_0968,わざわい,,殃い・災い・禍い・厄い・孼い・夭い・害い・灾い・烖い・眚い・祅い・菑い・叐󠄃い,災厄。天罰。神のとがめ。,,05,"<img src=""Lv05_0968.png"">","<img src=""Lv05_0968_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
灾い,殃い,Lv05_0968,わざわい,,殃い・災い・禍い・厄い・孼い・夭い・害い・旤い・烖い・眚い・祅い・菑い・叐󠄃い,災厄。天罰。神のとがめ。,,05,"<img src=""Lv05_0968.png"">","<img src=""Lv05_0968_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
烖い,殃い,Lv05_0968,わざわい,,殃い・災い・禍い・厄い・孼い・夭い・害い・旤い・灾い・眚い・祅い・菑い・叐󠄃い,災厄。天罰。神のとがめ。,,05,"<img src=""Lv05_0968.png"">","<img src=""Lv05_0968_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
眚い,殃い,Lv05_0968,わざわい,,殃い・災い・禍い・厄い・孼い・夭い・害い・旤い・灾い・烖い・祅い・菑い・叐󠄃い,災厄。天罰。神のとがめ。,,05,"<img src=""Lv05_0968.png"">","<img src=""Lv05_0968_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
祅い,殃い,Lv05_0968,わざわい,,殃い・災い・禍い・厄い・孼い・夭い・害い・旤い・灾い・烖い・眚い・菑い・叐󠄃い,災厄。天罰。神のとがめ。,,05,"<img src=""Lv05_0968.png"">","<img src=""Lv05_0968_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
菑い,殃い,Lv05_0968,わざわい,,殃い・災い・禍い・厄い・孼い・夭い・害い・旤い・灾い・烖い・眚い・祅い・叐󠄃い,災厄。天罰。神のとがめ。,,05,"<img src=""Lv05_0968.png"">","<img src=""Lv05_0968_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
叐󠄃い,殃い,Lv05_0968,わざわい,,殃い・災い・禍い・厄い・孼い・夭い・害い・旤い・灾い・烖い・眚い・祅い・菑い,災厄。天罰。神のとがめ。,,05,"<img src=""Lv05_0968.png"">","<img src=""Lv05_0968_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
爰に,,Lv05_0969,ここに,,此に・是に・茲に・聿に・粤に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05
此に,爰に,Lv05_0969,ここに,,爰に・是に・茲に・聿に・粤に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
是に,爰に,Lv05_0969,ここに,,爰に・此に・茲に・聿に・粤に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
茲に,爰に,Lv05_0969,ここに,,爰に・此に・是に・聿に・粤に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
聿に,爰に,Lv05_0969,ここに,,爰に・此に・是に・茲に・粤に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
粤に,爰に,Lv05_0969,ここに,,爰に・此に・是に・茲に・聿に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
言に,爰に,Lv05_0969,ここに,,爰に・此に・是に・茲に・聿に・粤に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
焉に,爰に,Lv05_0969,ここに,,爰に・此に・是に・茲に・聿に・粤に・言に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
越に,爰に,Lv05_0969,ここに,,爰に・此に・是に・茲に・聿に・粤に・言に・焉に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
亐に,爰に,Lv05_0969,ここに,,爰に・此に・是に・茲に・聿に・粤に・言に・焉に・越に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
𬦌に,爰に,Lv05_0969,ここに,,爰に・此に・是に・茲に・聿に・粤に・言に・焉に・越に・亐に・𠿋に・于に・曰に・玆に・云に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
𠿋に,爰に,Lv05_0969,ここに,,爰に・此に・是に・茲に・聿に・粤に・言に・焉に・越に・亐に・𬦌に・于に・曰に・玆に・云に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
于に,爰に,Lv05_0969,ここに,,爰に・此に・是に・茲に・聿に・粤に・言に・焉に・越に・亐に・𬦌に・𠿋に・曰に・玆に・云に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
曰に,爰に,Lv05_0969,ここに,,爰に・此に・是に・茲に・聿に・粤に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・玆に・云に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
玆に,爰に,Lv05_0969,ここに,,爰に・此に・是に・茲に・聿に・粤に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・云に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
云に,爰に,Lv05_0969,ここに,,爰に・此に・是に・茲に・聿に・粤に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・斯に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
斯に,爰に,Lv05_0969,ここに,,爰に・此に・是に・茲に・聿に・粤に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に,この場合に。この時に。また、話題転換を示す語。さて。それで。このように。,,05,"<img src=""Lv05_0969.png"">","<img src=""Lv05_0969_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
籌,,Lv05_0970,はかりごと,,謀・略・畧・萗・策・揆・㖼・猷・筴・筹・謨・謩・計,よく考えて練った計画。策略。,,05,"<img src=""Lv05_0970.png"">","<img src=""Lv05_0970_cropped.png"">",漢字でGO!-05
謀,籌,Lv05_0970,はかりごと,,籌・略・畧・萗・策・揆・㖼・猷・筴・筹・謨・謩・計,よく考えて練った計画。策略。,,05,"<img src=""Lv05_0970.png"">","<img src=""Lv05_0970_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
略,籌,Lv05_0970,はかりごと,,籌・謀・畧・萗・策・揆・㖼・猷・筴・筹・謨・謩・計,よく考えて練った計画。策略。,,05,"<img src=""Lv05_0970.png"">","<img src=""Lv05_0970_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
畧,籌,Lv05_0970,はかりごと,,籌・謀・略・萗・策・揆・㖼・猷・筴・筹・謨・謩・計,よく考えて練った計画。策略。,,05,"<img src=""Lv05_0970.png"">","<img src=""Lv05_0970_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
萗,籌,Lv05_0970,はかりごと,,籌・謀・略・畧・策・揆・㖼・猷・筴・筹・謨・謩・計,よく考えて練った計画。策略。,,05,"<img src=""Lv05_0970.png"">","<img src=""Lv05_0970_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
策,籌,Lv05_0970,はかりごと,,籌・謀・略・畧・萗・揆・㖼・猷・筴・筹・謨・謩・計,よく考えて練った計画。策略。,,05,"<img src=""Lv05_0970.png"">","<img src=""Lv05_0970_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
揆,籌,Lv05_0970,はかりごと,,籌・謀・略・畧・萗・策・㖼・猷・筴・筹・謨・謩・計,よく考えて練った計画。策略。,,05,"<img src=""Lv05_0970.png"">","<img src=""Lv05_0970_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
㖼,籌,Lv05_0970,はかりごと,,籌・謀・略・畧・萗・策・揆・猷・筴・筹・謨・謩・計,よく考えて練った計画。策略。,,05,"<img src=""Lv05_0970.png"">","<img src=""Lv05_0970_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
猷,籌,Lv05_0970,はかりごと,,籌・謀・略・畧・萗・策・揆・㖼・筴・筹・謨・謩・計,よく考えて練った計画。策略。,,05,"<img src=""Lv05_0970.png"">","<img src=""Lv05_0970_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
筴,籌,Lv05_0970,はかりごと,,籌・謀・略・畧・萗・策・揆・㖼・猷・筹・謨・謩・計,よく考えて練った計画。策略。,,05,"<img src=""Lv05_0970.png"">","<img src=""Lv05_0970_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
筹,籌,Lv05_0970,はかりごと,,籌・謀・略・畧・萗・策・揆・㖼・猷・筴・謨・謩・計,よく考えて練った計画。策略。,,05,"<img src=""Lv05_0970.png"">","<img src=""Lv05_0970_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
謨,籌,Lv05_0970,はかりごと,,籌・謀・略・畧・萗・策・揆・㖼・猷・筴・筹・謩・計,よく考えて練った計画。策略。,,05,"<img src=""Lv05_0970.png"">","<img src=""Lv05_0970_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
謩,籌,Lv05_0970,はかりごと,,籌・謀・略・畧・萗・策・揆・㖼・猷・筴・筹・謨・計,よく考えて練った計画。策略。,,05,"<img src=""Lv05_0970.png"">","<img src=""Lv05_0970_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
計,籌,Lv05_0970,はかりごと,,籌・謀・略・畧・萗・策・揆・㖼・猷・筴・筹・謨・謩,よく考えて練った計画。策略。,,05,"<img src=""Lv05_0970.png"">","<img src=""Lv05_0970_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
粤に,,Lv05_0971,ここに,,此に・是に・茲に・聿に・爰に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05
此に,粤に,Lv05_0971,ここに,,粤に・是に・茲に・聿に・爰に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
是に,粤に,Lv05_0971,ここに,,粤に・此に・茲に・聿に・爰に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
茲に,粤に,Lv05_0971,ここに,,粤に・此に・是に・聿に・爰に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
聿に,粤に,Lv05_0971,ここに,,粤に・此に・是に・茲に・爰に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
爰に,粤に,Lv05_0971,ここに,,粤に・此に・是に・茲に・聿に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
言に,粤に,Lv05_0971,ここに,,粤に・此に・是に・茲に・聿に・爰に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
焉に,粤に,Lv05_0971,ここに,,粤に・此に・是に・茲に・聿に・爰に・言に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
越に,粤に,Lv05_0971,ここに,,粤に・此に・是に・茲に・聿に・爰に・言に・焉に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
亐に,粤に,Lv05_0971,ここに,,粤に・此に・是に・茲に・聿に・爰に・言に・焉に・越に・𬦌に・𠿋に・于に・曰に・玆に・云に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
𬦌に,粤に,Lv05_0971,ここに,,粤に・此に・是に・茲に・聿に・爰に・言に・焉に・越に・亐に・𠿋に・于に・曰に・玆に・云に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
𠿋に,粤に,Lv05_0971,ここに,,粤に・此に・是に・茲に・聿に・爰に・言に・焉に・越に・亐に・𬦌に・于に・曰に・玆に・云に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
于に,粤に,Lv05_0971,ここに,,粤に・此に・是に・茲に・聿に・爰に・言に・焉に・越に・亐に・𬦌に・𠿋に・曰に・玆に・云に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
曰に,粤に,Lv05_0971,ここに,,粤に・此に・是に・茲に・聿に・爰に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・玆に・云に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
玆に,粤に,Lv05_0971,ここに,,粤に・此に・是に・茲に・聿に・爰に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・云に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
云に,粤に,Lv05_0971,ここに,,粤に・此に・是に・茲に・聿に・爰に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・斯に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
斯に,粤に,Lv05_0971,ここに,,粤に・此に・是に・茲に・聿に・爰に・言に・焉に・越に・亐に・𬦌に・𠿋に・于に・曰に・玆に・云に,言葉や文章の言い出しに用いる語。そこで。さて。このように。,,05,"<img src=""Lv05_0971.png"">","<img src=""Lv05_0971_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
蒙る,,Lv05_0972,こうむる,,被る・𫎇る,いただく。たまわる。また、身にふりかかるものとして受ける。,,05,"<img src=""Lv05_0972.png"">","<img src=""Lv05_0972_cropped.png"">",漢字でGO!-05
被る,蒙る,Lv05_0972,こうむる,,蒙る・𫎇る,いただく。たまわる。また、身にふりかかるものとして受ける。,,05,"<img src=""Lv05_0972.png"">","<img src=""Lv05_0972_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
𫎇る,蒙る,Lv05_0972,こうむる,,蒙る・被る,いただく。たまわる。また、身にふりかかるものとして受ける。,,05,"<img src=""Lv05_0972.png"">","<img src=""Lv05_0972_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
糒,,Lv05_0973,ほしい,,干し飯・糇・糗・餱,米を蒸して乾燥させた保存食。,「ほしいい」、「かれいい」とも,05,"<img src=""Lv05_0973.png"">","<img src=""Lv05_0973_cropped.png"">",漢字でGO!-05
干し飯,糒,Lv05_0973,ほしい,,糒・糇・糗・餱,米を蒸して乾燥させた保存食。,「ほしいい」、「かれいい」とも,05,"<img src=""Lv05_0973.png"">","<img src=""Lv05_0973_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
糇,糒,Lv05_0973,ほしい,,糒・干し飯・糗・餱,米を蒸して乾燥させた保存食。,「ほしいい」、「かれいい」とも,05,"<img src=""Lv05_0973.png"">","<img src=""Lv05_0973_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
糗,糒,Lv05_0973,ほしい,,糒・干し飯・糇・餱,米を蒸して乾燥させた保存食。,「ほしいい」、「かれいい」とも,05,"<img src=""Lv05_0973.png"">","<img src=""Lv05_0973_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
餱,糒,Lv05_0973,ほしい,,糒・干し飯・糇・糗,米を蒸して乾燥させた保存食。,「ほしいい」、「かれいい」とも,05,"<img src=""Lv05_0973.png"">","<img src=""Lv05_0973_cropped.png"">",漢字でGO!-05 漢字でGO!-別表記
絮い,,Lv05_0974,くどい,諄い・縟い・など,,同じことを何度も繰り返し言って、わずらわしく感じられる。話がしつこい。,,05,"<img src=""Lv05_0974.png"">","<img src=""Lv05_0974_cropped.png"">",漢字でGO!-05
