単語,元単語,問題ID,読み方,別解,別表記,意味,追記,レベル,画像,切り抜き画像,Tags
葈耳,,Lv06_0182,おなもみ,,巻耳・葹,キク目キク科の一年草。,,06,"<img src=""Lv06_0182.png"">","<img src=""Lv06_0182_cropped.png"">",漢字でGO!-06
巻耳,葈耳,Lv06_0182,おなもみ,,葈耳・葹,キク目キク科の一年草。,,06,"<img src=""Lv06_0182.png"">","<img src=""Lv06_0182_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
葹,葈耳,Lv06_0182,おなもみ,,葈耳・巻耳,キク目キク科の一年草。,,06,"<img src=""Lv06_0182.png"">","<img src=""Lv06_0182_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
海蠃廻し,,Lv06_0183,ばいまわし,,貝回し・海螺廻し,ばいごまを回して勝負を争う遊び。ばいうち。,,06,"<img src=""Lv06_0183.png"">","<img src=""Lv06_0183_cropped.png"">",漢字でGO!-06
貝回し,海蠃廻し,Lv06_0183,ばいまわし,,海蠃廻し・海螺廻し,ばいごまを回して勝負を争う遊び。ばいうち。,,06,"<img src=""Lv06_0183.png"">","<img src=""Lv06_0183_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
海螺廻し,海蠃廻し,Lv06_0183,ばいまわし,,海蠃廻し・貝回し,ばいごまを回して勝負を争う遊び。ばいうち。,,06,"<img src=""Lv06_0183.png"">","<img src=""Lv06_0183_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
螇蚸,,Lv06_0184,はたはた,,,バッタの異称。,螇蚸(けいれき)とも。,06,"<img src=""Lv06_0184.png"">","<img src=""Lv06_0184_cropped.png"">",漢字でGO!-06
幢褙,,Lv06_0185,どうほえ,,,掛物の表装のひとつ。宸翰、古筆、絵画などに用いられる。,,06,"<img src=""Lv06_0185.png"">","<img src=""Lv06_0185_cropped.png"">",漢字でGO!-06
褰帳,,Lv06_0186,とばりあげ,,帳上げ,即位、朝賀などの大礼のときに、高御座の南面の帳をあげる儀式。,,06,"<img src=""Lv06_0186.png"">","<img src=""Lv06_0186_cropped.png"">",漢字でGO!-06
帳上げ,褰帳,Lv06_0186,とばりあげ,,褰帳,即位、朝賀などの大礼のときに、高御座の南面の帳をあげる儀式。,,06,"<img src=""Lv06_0186.png"">","<img src=""Lv06_0186_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
雪渓襀翅,,Lv06_0187,せっけいかわげら,,雪渓川螻蛄,カワゲラ目クロカワゲラ科の昆虫。,,06,"<img src=""Lv06_0187.png"">","<img src=""Lv06_0187_cropped.png"">",漢字でGO!-06
雪渓川螻蛄,雪渓襀翅,Lv06_0187,せっけいかわげら,,雪渓襀翅,カワゲラ目クロカワゲラ科の昆虫。,,06,"<img src=""Lv06_0187.png"">","<img src=""Lv06_0187_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
讋服,,Lv06_0188,しょうふく,,懾服・懾伏・慴伏,勢いや力におそれて屈伏、服従すること。,,06,"<img src=""Lv06_0188.png"">","<img src=""Lv06_0188_cropped.png"">",漢字でGO!-06
懾服,讋服,Lv06_0188,しょうふく,,讋服・懾伏・慴伏,勢いや力におそれて屈伏、服従すること。,,06,"<img src=""Lv06_0188.png"">","<img src=""Lv06_0188_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
懾伏,讋服,Lv06_0188,しょうふく,,讋服・懾服・慴伏,勢いや力におそれて屈伏、服従すること。,,06,"<img src=""Lv06_0188.png"">","<img src=""Lv06_0188_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
慴伏,讋服,Lv06_0188,しょうふく,,讋服・懾服・懾伏,勢いや力におそれて屈伏、服従すること。,,06,"<img src=""Lv06_0188.png"">","<img src=""Lv06_0188_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
佷し,,Lv06_0189,いすかし,,很し,心がねじけている。ひすかし。,,06,"<img src=""Lv06_0189.png"">","<img src=""Lv06_0189_cropped.png"">",漢字でGO!-06
很し,佷し,Lv06_0189,いすかし,,佷し,心がねじけている。ひすかし。,,06,"<img src=""Lv06_0189.png"">","<img src=""Lv06_0189_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
佸う,,Lv06_0190,あう,,会う,出会う。あつまる。,,06,"<img src=""Lv06_0190.png"">","<img src=""Lv06_0190_cropped.png"">",漢字でGO!-06
会う,佸う,Lv06_0190,あう,,佸う,出会う。あつまる。,,06,"<img src=""Lv06_0190.png"">","<img src=""Lv06_0190_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
淦水,,Lv06_0191,あかみず,,,船体の結合部や損傷部などから浸入して船底にたまった水。,淦水(かんすい)とも。,06,"<img src=""Lv06_0191.png"">","<img src=""Lv06_0191_cropped.png"">",漢字でGO!-06
勹む,,Lv06_0192,つつむ,,包む,外側から覆う。くるむ。,,06,"<img src=""Lv06_0192.png"">","<img src=""Lv06_0192_cropped.png"">",漢字でGO!-06
包む,勹む,Lv06_0192,つつむ,,勹む,外側から覆う。くるむ。,,06,"<img src=""Lv06_0192.png"">","<img src=""Lv06_0192_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
十卺楼,,Lv06_0193,じっきんろう,,十巹楼,李漁の短編小説集『覚世名言十二楼』の十二編のうちのひとつ。,,06,"<img src=""Lv06_0193.png"">","<img src=""Lv06_0193_cropped.png"">",漢字でGO!-06
十巹楼,十卺楼,Lv06_0193,じっきんろう,,十卺楼,李漁の短編小説集『覚世名言十二楼』の十二編のうちのひとつ。,,06,"<img src=""Lv06_0193.png"">","<img src=""Lv06_0193_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
卩,,Lv06_0194,わりふ,,割符,部首の一つ。ふしづくりとも。,,06,"<img src=""Lv06_0194.png"">","<img src=""Lv06_0194_cropped.png"">",漢字でGO!-06
割符,卩,Lv06_0194,わりふ,,卩,部首の一つ。ふしづくりとも。,,06,"<img src=""Lv06_0194.png"">","<img src=""Lv06_0194_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
璫,,Lv06_0195,みみかざり,みみぐさり,耳飾り・耳鎖,耳たぶにつけたり、貫いたりして使う飾り。,,06,"<img src=""Lv06_0195.png"">","<img src=""Lv06_0195_cropped.png"">",漢字でGO!-06
耳飾り,璫,Lv06_0195,みみかざり,みみぐさり,璫・耳鎖,耳たぶにつけたり、貫いたりして使う飾り。,,06,"<img src=""Lv06_0195.png"">","<img src=""Lv06_0195_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
耳鎖,璫,Lv06_0195,みみかざり,みみぐさり,璫・耳飾り,耳たぶにつけたり、貫いたりして使う飾り。,,06,"<img src=""Lv06_0195.png"">","<img src=""Lv06_0195_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
萎蕤,,Lv06_0196,あまどころ,,甘野老,キジカクシ目キジカクシ科の多年草。,萎蕤(いずい)とも。,06,"<img src=""Lv06_0196.png"">","<img src=""Lv06_0196_cropped.png"">",漢字でGO!-06
甘野老,萎蕤,Lv06_0196,あまどころ,,萎蕤,キジカクシ目キジカクシ科の多年草。,萎蕤(いずい)とも。,06,"<img src=""Lv06_0196.png"">","<img src=""Lv06_0196_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
蝤蛑,,Lv06_0197,がざみ,がさみ・かざみ,,エビ目ワタリガニ科に分類されるカニ。,,06,"<img src=""Lv06_0197.png"">","<img src=""Lv06_0197_cropped.png"">",漢字でGO!-06
磌,,Lv06_0198,いしずえ,,礎・礩・榰,建造物の柱、壁などの下に土台となる石をすえること。また、その石。,古くは「石据え」,06,"<img src=""Lv06_0198.png"">","<img src=""Lv06_0198_cropped.png"">",漢字でGO!-06
